id_cliente,nome,sexo,data_nasc,cidade,uf,data_cadastro
1,Caio Souza,M,1979-09-04,Recife,PE,2020-07-25
2,Aline Souza,ND,2003-12-05,Teresina,MG,2023-09-25
3,Monique Silva,M,1974-08-13,Natal,PE,2019-04-19
4,Luca Almeida,ND,2003-11-21,Recife,MS,2024-01-14
5,Luiz Gomes,M,1969-04-28,Campo Grande,TO,2022-10-25
6,Carla Rodrigues,M,1985-03-13,Belo Horizonte,RS,2023-04-06
7,Fabrício Carvalho,F,1978-09-24,Macapá,RJ,2024-02-25
8,Luca Souza,F,1962-01-26,Goiânia,PB,2023-01-21
9,Luiz Almeida,ND,1961-03-29,Boa Vista,RJ,2021-07-22
10,Thiago Ribeiro,M,1975-11-20,Cuiabá,RS,2022-02-12
11,Lucas Carvalho,M,1988-03-18,Salvador,ES,2021-12-29
12,Felipe Oliveira,ND,1970-05-09,Macapá,PB,2021-09-29
13,Luiza Lima,F,1979-03-21,Palmas,RO,2025-03-31
14,André Martins,M,1975-07-20,Brasília,RJ,2023-07-02
15,Carla Oliveira,M,2005-11-19,Brasília,TO,2021-05-20
16,Caio Barbosa,F,1996-03-01,Fortaleza,PR,2020-07-25
17,André Rocha,ND,1978-07-28,Teresina,AP,2023-10-21
18,Sofia Dias,F,1987-06-23,Curitiba,PE,2024-09-18
19,Juliana Oliveira,M,1964-11-01,Porto Velho,PR,2020-10-17
20,Patrícia Pereira,ND,1960-09-12,Cuiabá,MT,2024-04-01
21,Rafael Gomes,ND,1956-01-12,Macapá,RR,2020-04-14
22,Camila Rocha,F,1985-07-08,Goiânia,RS,2023-11-16
23,Luiza Lima,M,1978-08-18,São Luís,RN,2021-01-01
24,Rafael Souza,ND,1981-10-10,Natal,RO,2021-03-25
25,Akira Carvalho,M,2003-05-23,Natal,MA,2019-01-03
26,Paula Martins,F,1956-09-30,Vitória,RS,2022-06-13
27,André Santos,M,2005-11-25,Belo Horizonte,MG,2024-06-13
28,Gabriel Oliveira,ND,1966-04-13,Boa Vista,PR,2024-04-30
29,Beatriz Rocha,M,1978-10-12,Maceió,RN,2023-09-30
30,Beatriz Almeida,ND,1973-01-17,Goiânia,TO,2023-06-23
31,Camila Carvalho,F,2001-06-07,Porto Alegre,PA,2021-10-12
32,André Oliveira,F,1956-11-20,João Pessoa,PI,2021-07-31
33,Luiz Costa,M,1961-05-15,Porto Velho,TO,2019-08-30
34,André Oliveira,M,1984-08-23,Natal,MG,2021-09-01
35,Carla Barbosa,M,2003-05-18,Macapá,PR,2025-05-27
36,Luiz Barbosa,M,1997-06-07,Salvador,MS,2020-01-22
37,Fabrício Pereira,F,1992-12-31,Belém,MS,2019-08-10
38,Camila Souza,M,1991-02-14,Brasília,AP,2020-03-23
39,André Almeida,M,2003-02-11,Curitiba,PA,2023-09-25
40,Luiza Gomes,F,1977-05-30,Belém,MG,2025-03-04
41,Fabrício Santos,ND,2003-07-01,Belo Horizonte,SP,2021-08-26
42,Luiza Pereira,F,1998-03-09,Cuiabá,BA,2019-08-29
43,Luiza Araujo,M,1990-01-10,Belém,CE,2022-03-14
44,Ana Rocha,ND,1998-08-30,Salvador,PR,2022-04-30
45,Roberto Santos,ND,2003-08-23,Macapá,RJ,2022-07-08
46,Monique Santos,ND,1997-10-10,Natal,RN,2020-10-06
47,Monique Cardoso,M,1971-09-03,Maceió,MG,2019-10-06
48,Camila Costa,F,1965-10-03,Recife,PI,2025-06-29
49,Paula Santos,ND,1962-05-10,Boa Vista,MS,2025-07-18
50,Luiz Cardoso,F,1978-05-24,Boa Vista,BA,2022-07-10
51,André Gomes,F,1966-09-28,Porto Velho,RR,2022-05-13
52,Lucas Martins,M,1955-11-02,Maceió,PA,2025-04-25
53,Fabrício Oliveira,ND,1974-02-14,Fortaleza,RN,2020-06-26
54,Daniel Carvalho,M,1976-11-30,Goiânia,ES,2020-10-08
55,Lucas Rocha,ND,1982-02-20,Porto Velho,AL,2024-12-06
56,Bruno Rocha,F,1964-04-17,Fortaleza,PR,2020-04-17
57,Sofia Souza,ND,2004-08-19,Fortaleza,PR,2022-02-28
58,Paula Almeida,ND,1985-10-05,Boa Vista,BA,2021-12-17
59,Rafael Barbosa,F,1959-07-23,Porto Velho,MG,2023-10-01
60,Gabriel Gomes,M,1955-04-27,São Luís,DF,2020-06-19
61,Caio Gomes,M,1994-08-22,Palmas,PB,2023-10-18
62,Luca Silva,M,1961-10-01,Curitiba,TO,2025-02-12
63,Monique Carvalho,ND,2004-07-27,Campo Grande,PR,2020-06-06
64,Monique Ribeiro,F,1958-07-31,Salvador,ES,2021-10-19
65,Camila Souza,F,2005-03-25,Maceió,MS,2020-09-25
66,Daniel Costa,M,1970-11-19,São Paulo,MS,2021-01-04
67,Aline Martins,F,1977-04-06,Florianópolis,CE,2020-03-18
68,Pedro Santos,F,1974-12-15,Belém,BA,2022-12-03
69,Marina Costa,M,1957-02-14,Salvador,RR,2023-06-21
70,João Gomes,M,1980-01-16,Porto Velho,ES,2024-09-17
71,Pedro Rocha,F,1957-06-23,Fortaleza,RS,2021-01-01
72,Luiz Gomes,M,1964-09-22,Campo Grande,AL,2022-11-16
73,Aline Martins,F,2000-11-18,Cuiabá,RS,2025-06-19
74,Roberto Gomes,M,1994-02-13,Natal,SP,2025-01-14
75,Camila Almeida,F,1993-09-10,Boa Vista,MG,2022-09-14
76,Paula Martins,ND,1966-03-07,Goiânia,AP,2024-09-08
77,Marina Pereira,F,1991-02-06,Goiânia,TO,2025-03-20
78,Akira Almeida,F,1989-01-05,Macapá,RR,2020-12-13
79,Paula Dias,F,1991-06-07,São Paulo,PB,2022-05-29
80,Marina Almeida,F,1983-11-29,Belém,PA,2023-12-17
81,Camila Almeida,ND,1997-06-14,Florianópolis,AP,2019-12-14
82,Marina Cardoso,ND,1985-01-26,São Luís,MG,2021-08-20
83,Camila Ribeiro,M,1972-11-12,São Paulo,PR,2019-07-09
84,André Barbosa,ND,1961-07-14,Campo Grande,PA,2025-06-15
85,Roberto Araujo,F,1990-11-08,Curitiba,PE,2019-01-23
86,Sofia Souza,F,1974-08-19,Palmas,SC,2024-10-22
87,Lucas Santos,ND,1977-05-10,Belém,RS,2020-06-30
88,Patrícia Lima,ND,2002-08-26,Maceió,PB,2022-07-23
89,Beatriz Lima,ND,2000-04-14,João Pessoa,MS,2024-01-01
90,Sofia Ferreira,ND,1997-08-02,Fortaleza,PA,2021-10-09
91,Gabriel Gomes,ND,1998-06-23,Recife,RO,2022-01-29
92,Lucas Oliveira,ND,1980-08-19,Fortaleza,PE,2022-10-07
93,João Rocha,M,1967-06-01,Recife,PR,2023-04-18
94,Felipe Rodrigues,ND,1974-03-12,Campo Grande,MG,2023-07-28
95,João Rocha,F,1992-04-20,Salvador,RJ,2023-09-17
96,Pedro Dias,ND,1956-10-02,Teresina,MA,2023-04-08
97,Juliana Silva,F,1981-10-15,Cuiabá,MA,2023-09-13
98,Luca Rocha,ND,1974-10-14,Recife,AM,2022-01-22
99,Ana Barbosa,M,1989-11-20,Boa Vista,DF,2023-07-15
100,Aline Ferreira,F,1966-06-14,João Pessoa,AL,2019-04-21
101,Daniel Araujo,ND,2005-08-19,São Paulo,RR,2019-12-10
102,Caio Pereira,M,1996-06-02,Rio de Janeiro,SC,2021-12-01
103,Pedro Martins,M,1995-10-17,Brasília,DF,2023-04-02
104,Carla Pereira,F,1962-05-07,São Paulo,AM,2025-01-18
105,Monique Carvalho,M,1961-02-26,Porto Velho,MA,2019-06-14
106,Thiago Silva,M,1972-11-19,Maceió,SP,2020-09-16
107,André Rodrigues,F,1965-04-06,Salvador,PI,2024-03-19
108,Felipe Gomes,F,1970-01-20,Maceió,AL,2020-04-14
109,Thiago Ferreira,F,1964-09-12,São Paulo,PI,2022-07-01
110,Luiz Araujo,F,1972-10-16,Teresina,MG,2021-09-21
111,Fabrício Ribeiro,ND,1965-11-10,Rio de Janeiro,PI,2022-11-23
112,Luca Pereira,ND,1988-03-30,Natal,MG,2022-10-29
113,Bruno Pereira,F,1964-06-20,Vitória,MS,2024-02-27
114,Felipe Rodrigues,F,1970-10-20,Natal,AP,2022-01-11
115,Paula Rocha,F,1996-09-14,Macapá,MS,2022-01-04
116,João Costa,M,1980-01-09,Recife,PA,2024-03-18
